"Status,Transaction,Furnishing,Facing,Bathroom,Balcony,City,BHK,Price_clean,Area(sqft),Floor_No,Total_Floors,Area_Name"
"Ready to Move,New Property,Semi-Furnished,East,2.0,2.0,Delhi,3.0,23500000.0,1200.0,1.0,7.0,Kharadi"
"Ready to Move,Resale,Unfurnished,East,3.0,2.0,Delhi,3.0,37500000.0,1800.0,4.0,4.0,C Block Saket"
"Ready to Move,Resale,Semi-Furnished,East,2.0,2.0,Delhi,3.0,5800000.0,1000.0,4.0,4.0,Rama Park"
"Ready to Move,Resale,Semi-Furnished,South,2.0,1.0,Delhi,3.0,4500000.0,675.0,1.0,4.0,Param Puri"
"Ready to Move,Resale,Semi-Furnished,East,3.0,1.0,Delhi,3.0,5500000.0,95.0,3.0,4.0,Kharadi"
"Ready to Move,Resale,Semi-Furnished,East,2.0,1.0,Delhi,2.0,4600000.0,540.0,3.0,4.0,Mahavir Enclave Part 1"
"Ready to Move,Resale,Unfurnished,East,1.0,1.0,Delhi,1.0,2500000.0,450.0,4.0,4.0,Rohini"
"Ready to Move,Resale,Semi-Furnished,East,2.0,2.0,Delhi,2.0,17300000.0,1025.0,2.0,4.0,Kharadi"
"Ready to Move,Resale,Semi-Furnished,North - East,3.0,1.0,Delhi,3.0,16000000.0,850.0,4.0,3.0,Kharadi"
"Ready to Move,Resale,Semi-Furnished,South,2.0,1.0,Delhi,2.0,8000000.0,560.0,1.0,4.0,Chand Nagar"
"Ready to Move,Resale,Furnished,East,1.0,2.0,Delhi,3.0,6200000.0,1025.0,3.0,3.0,Mohan Park"
"Ready to Move,Resale,Semi-Furnished,East,2.0,1.0,Delhi,2.0,2200000.0,450.0,4.0,4.0,Kharadi"
"Ready to Move,Resale,Semi-Furnished,East,2.0,2.0,Delhi,3.0,3500000.0,1025.0,3.0,4.0,Bhajanpura"
"Ready to Move,Resale,Semi-Furnished,East,2.0,2.0,Delhi,2.0,28000000.0,100.0,1.0,3.0,Jangpura Extension"
"Ready to Move,Resale,Semi-Furnished,North,2.0,1.0,Delhi,3.0,16000000.0,1100.0,1.0,3.0,Kharadi"
"Ready to Move,Resale,Semi-Furnished,North - East,1.0,1.0,Delhi,2.0,3300000.0,450.0,1.0,4.0,Burari"
"Ready to Move,Resale,Furnished,East,2.0,1.0,Delhi,2.0,8500000.0,850.0,1.0,4.0,Dwarka"
"Ready to Move,Resale,Semi-Furnished,North - East,2.0,1.0,Delhi,2.0,12700000.0,900.0,4.0,4.0,Patel Nagar West"
"Ready to Move,Resale,Furnished,North,3.0,2.0,Delhi,3.0,27000000.0,1000.0,2.0,4.0,Pitampura"
"Ready to Move,Resale,Semi-Furnished,South - East,5.0,2.0,Delhi,4.0,170000000.0,2200.0,3.0,4.0,Defence Colony"
"Ready to Move,Resale,Semi-Furnished,North,3.0,1.0,Delhi,3.0,50000000.0,280.0,1.0,3.0,Janakpuri Block A3"
"Ready to Move,Resale,Furnished,North - West,3.0,2.0,Delhi,3.0,21000000.0,900.0,1.0,4.0,Old Rajendra Nagar"
"Ready to Move,Resale,Semi-Furnished,East,2.0,1.0,Delhi,3.0,6600000.0,660.0,1.0,3.0,H Block Saket"
"Ready to Move,Resale,Semi-Furnished,South -West,2.0,2.0,Delhi,2.0,9000000.0,1000.0,4.0,4.0,Pandav Nagar"
"Ready to Move,Resale,Furnished,East,2.0,1.0,Delhi,2.0,7500000.0,1000.0,3.0,4.0,Krishna Nagar"
"Ready to Move,Resale,Semi-Furnished,East,3.0,2.0,Delhi,4.0,34500000.0,1025.0,10.0,11.0,Kharadi"
"Ready to Move,Resale,Semi-Furnished,South,5.0,2.0,Delhi,6.0,106500000.0,5400.0,4.0,2.0,J Block Saket"
"Ready to Move,Resale,Furnished,East,2.0,1.0,Delhi,2.0,5500000.0,700.0,4.0,4.0,Govindpuri"
"Ready to Move,Resale,Semi-Furnished,East,3.0,1.0,Delhi,3.0,6500000.0,1050.0,3.0,4.0,Dwarka Mor"
"Ready to Move,Resale,Furnished,East,2.0,1.0,Delhi,3.0,6200000.0,812.0,1.0,4.0,Khureji Khas"
"Ready to Move,New Property,Furnished,North - East,3.0,1.0,Delhi,3.0,27500000.0,1200.0,1.0,7.0,Kharadi"
"Ready to Move,Resale,Semi-Furnished,North - East,4.0,5.0,Delhi,4.0,35900000.0,2450.0,3.0,10.0,Kharadi"
"Ready to Move,Resale,Furnished,East,4.0,2.0,Delhi,4.0,36500000.0,1025.0,4.0,4.0,Hari Nagar"
"Ready to Move,Resale,Semi-Furnished,North - East,2.0,1.0,Delhi,3.0,4300000.0,700.0,1.0,4.0,Chanakya Place"
"Ready to Move,New Property,Semi-Furnished,North - East,3.0,2.0,Delhi,3.0,23000000.0,100.0,4.0,4.0,Poorvi Pitampura"
"Ready to Move,New Property,Semi-Furnished,East,3.0,1.0,Delhi,3.0,7420000.0,125.0,1.0,5.0,Gwal Pahari"
"Ready to Move,Resale,Semi-Furnished,East,2.0,2.0,Delhi,2.0,1800000.0,1025.0,2.0,4.0,Uttam Nagar"
"Ready to Move,Resale,Semi-Furnished,East,3.0,2.0,Delhi,4.0,38200000.0,2000.0,5.0,9.0,Kharadi"
"Ready to Move,New Property,Semi-Furnished,North - East,5.0,2.0,Delhi,4.0,107500000.0,2250.0,3.0,4.0,Hauz Khas"
"Ready to Move,New Property,Semi-Furnished,East,1.0,1.0,Delhi,1.0,2400000.0,340.0,2.0,4.0,Mohan Garden Uttam Nagar"
"Ready to Move,Resale,Semi-Furnished,North,1.0,1.0,Delhi,1.0,5000000.0,538.0,1.0,4.0,Uttari Pitampura"
"Ready to Move,New Property,Unfurnished,North - West,3.0,3.0,Delhi,3.0,58000000.0,1500.0,2.0,5.0,Lajpat Nagar 3"
"Ready to Move,Resale,Semi-Furnished,East,3.0,2.0,Delhi,3.0,18000000.0,210.0,4.0,4.0,Old Sabji Mandi"
"Ready to Move,Resale,Unfurnished,East,1.0,2.0,Delhi,2.0,3200000.0,1025.0,4.0,4.0,Vishnu Garden"
"Ready to Move,New Property,Semi-Furnished,North,3.0,2.0,Delhi,3.0,31000000.0,1300.0,2.0,4.0,Anand Vihar"
"Ready to Move,Resale,Furnished,West,1.0,2.0,Delhi,2.0,3600000.0,420.0,4.0,4.0,Kharadi"
"Ready to Move,Resale,Semi-Furnished,East,4.0,2.0,Delhi,4.0,36500000.0,2200.0,4.0,8.0,Kharadi"
